"k","u","n","Tn"
"split on x3",0.429,14,62.7836118224724
"split on x3",0.429,15,60.2135617258459
"split on x1",0.571,0,22.5639649817486
"split on x1",0.571,1,32.4668942766774
"split on x1",0.571,2,51.0896957269214
"split on x1",0.571,3,35.822263407643
"split on x1",0.571,4,33.6458622520722
"split on x1",0.571,5,46.0013765590709
"split on x1",0.571,6,30.782392481124
"split on x1",0.571,7,24.3882548828911
"split on x1",0.571,8,24.2258812433089
"split on x1",0.571,9,27.8798552814494
"split on x1",0.571,10,40.9820383588765
"split on x1",0.571,11,39.7416292680464
"split on x1",0.571,12,58.6662094155273
"split on x1",0.571,13,31.6342796994903
"split on x1",0.571,14,44.1268511404727
"split on x1",0.571,15,32.1920437961895
"split on x2",0.571,0,80.4800115690957
"split on x2",0.571,1,77.5461099446166
"split on x2",0.571,2,74.2840311668138
"split on x2",0.571,3,77.5218355206114
"split on x2",0.571,4,74.5480808577319
"split on x2",0.571,5,74.6863875997208
"split on x2",0.571,6,75.5484089511054
"split on x2",0.571,7,70.9446801561747
"split on x2",0.571,8,78.7188386116195
"split on x2",0.571,9,79.5258905190892
"split on x2",0.571,10,66.2309584469648
"split on x2",0.571,11,73.7198612071479
"split on x2",0.571,12,69.0089296097027
"split on x2",0.571,13,80.3542211877567
"split on x2",0.571,14,74.1332521257946
"split on x2",0.571,15,73.4964111705336
"split on x3",0.571,0,150.630089431334
"split on x3",0.571,1,93.2601858163326
"split on x3",0.571,2,98.5939326056728
"split on x3",0.571,3,80.8053768573531
"split on x3",0.571,4,122.021551295436
"split on x3",0.571,5,135.143185583312
"split on x3",0.571,6,109.147679412672
"split on x3",0.571,7,109.401973578968
"split on x3",0.571,8,80.0201230508777
"split on x3",0.571,9,136.609628914192
"split on x3",0.571,10,150.473036630246
"split on x3",0.571,11,79.3628110994121
"split on x3",0.571,12,117.502028319814
"split on x3",0.571,13,106.986318606135
"split on x3",0.571,14,77.4096830926146
"split on x3",0.571,15,79.7979151488899
"split on x1",0.714,0,35.281469029608
"split on x1",0.714,1,38.6328010208875
"split on x1",0.714,2,49.3952123598914
"split on x1",0.714,3,42.3470317759639
"split on x1",0.714,4,44.4247817789799
"split on x1",0.714,5,40.0195471225789
"split on x1",0.714,6,31.4366355895738
"split on x1",0.714,7,38.957389058983
"split on x1",0.714,8,41.8039236294926
"split on x1",0.714,9,35.7965951670682
"split on x1",0.714,10,33.5896200706448
"split on x1",0.714,11,30.2316396721868
"split on x1",0.714,12,47.6659471851835
"split on x1",0.714,13,35.8658079454827
"split on x1",0.714,14,30.553287426887
"split on x1",0.714,15,39.8737024383429
"split on x2",0.714,0,74.3485114306862
