"case","t","y1","y2"
969,0,-0.190031975274906,0.514496699674055
969,0.5,-0.141982255872381,0.55553412088106
969,1,-0.0895221458531351,0.599229212234906
969,1.5,-0.0317561939115152,0.645639617189493
969,2,0.0323208960614665,0.694798959002343
969,2.5,0.103834988701907,0.746710801933852
969,3,0.18403710658383,0.801342729512191
969,3.5,0.274308940026994,0.858619390312272
969,4,0.376165462553062,0.918414924625162
969,4.5,0.491252052003381,0.980545913422484
969,5,0.621335729050643,1.0447636864126
969,5.5,0.768287992992322,1.11074773695916
969,6,0.934057020285563,1.17810015999968
969,6.5,1.12062660527907,1.24634201932022
969,7,1.32995920457466,1.31491249845186
969,7.5,1.56392066931049,1.38317179408304
969,8,1.82418719111988,1.45040847960008
969,8.5,2.11212225475726,1.51585350901268
969,9,2.42864886133048,1.5786991321097
969,9.5,2.77409572705833,1.63812534720991
969,10,3.14804036906233,1.69333201516071
970,0,-0.190031975274906,0.514496699674055
970,0.5,-0.141982255872381,0.55553412088106
970,1,-0.0895221458531351,0.599229212234906
970,1.5,-0.0317561939115152,0.645639617189493
970,2,0.0323208960614665,0.694798959002343
970,2.5,0.103834988701907,0.746710801933852
970,3,0.18403710658383,0.801342729512191
970,3.5,0.274308940026994,0.858619390312272
970,4,0.376165462553062,0.918414924625162
970,4.5,0.491252052003381,0.980545913422484
970,5,0.621335729050643,1.0447636864126
970,5.5,0.768287992992322,1.11074773695916
970,6,0.934057020285563,1.17810015999968
970,6.5,1.12062660527907,1.24634201932022
970,7,1.32995920457466,1.31491249845186
970,7.5,1.56392066931049,1.38317179408304
970,8,1.82418719111988,1.45040847960008
970,8.5,2.11212225475726,1.51585350901268
970,9,2.42864886133048,1.5786991321097
970,9.5,2.77409572705833,1.63812534720991
970,10,3.14804036906233,1.69333201516071
971,0,-0.190031975274906,0.514496699674055
971,0.5,-0.141982255872381,0.55553412088106
971,1,-0.0895221458531351,0.599229212234906
971,1.5,-0.0317561939115152,0.645639617189493
971,2,0.0323208960614665,0.694798959002343
971,2.5,0.103834988701907,0.746710801933852
971,3,0.18403710658383,0.801342729512191
971,3.5,0.274308940026994,0.858619390312272
971,4,0.376165462553062,0.918414924625162
971,4.5,0.491252052003381,0.980545913422484
971,5,0.621335729050643,1.0447636864126
971,5.5,0.768287992992322,1.11074773695916
971,6,0.934057020285563,1.17810015999968
971,6.5,1.12062660527907,1.24634201932022
971,7,1.32995920457466,1.31491249845186
971,7.5,1.56392066931049,1.38317179408304
971,8,1.82418719111988,1.45040847960008
971,8.5,2.11212225475726,1.51585350901268
971,9,2.42864886133048,1.5786991321097
971,9.5,2.77409572705833,1.63812534720991
971,10,3.14804036906233,1.69333201516071
972,0,-0.190031975274906,0.514496699674055
972,0.5,-0.141982255872381,0.55553412088106
972,1,-0.0895221458531351,0.599229212234906
972,1.5,-0.0317561939115152,0.645639617189493
972,2,0.0323208960614665,0.694798959002343
972,2.5,0.103834988701907,0.746710801933852
972,3,0.18403710658383,0.801342729512191
972,3.5,0.274308940026994,0.858619390312272
972,4,0.376165462553062,0.918414924625162
972,4.5,0.491252052003381,0.980545913422484
972,5,0.621335729050643,1.0447636864126
972,5.5,0.768287992992322,1.11074773695916
972,6,0.934057020285563,1.17810015999968
972,6.5,1.12062660527907,1.24634201932022
972,7,1.32995920457466,1.31491249845186
972,7.5,1.56392066931049,1.38317179408304
972,8,1.82418719111988,1.45040847960008
972,8.5,2.11212225475726,1.51585350901268
972,9,2.42864886133048,1.5786991321097
972,9.5,2.77409572705833,1.63812534720991
972,10,3.14804036906233,1.69333201516071
973,0,-0.190031975274906,0.514496699674055
973,0.5,-0.141982255872381,0.55553412088106
973,1,-0.0895221458531351,0.599229212234906
973,1.5,-0.0317561939115152,0.645639617189493
973,2,0.0323208960614665,0.694798959002343
973,2.5,0.103834988701907,0.746710801933852
973,3,0.18403710658383,0.801342729512191
973,3.5,0.274308940026994,0.858619390312272
973,4,0.376165462553062,0.918414924625162
973,4.5,0.491252052003381,0.980545913422484
973,5,0.621335729050643,1.0447636864126
973,5.5,0.768287992992322,1.11074773695916
973,6,0.934057020285563,1.17810015999968
973,6.5,1.12062660527907,1.24634201932022
973,7,1.32995920457466,1.31491249845186
973,7.5,1.56392066931049,1.38317179408304
973,8,1.82418719111988,1.45040847960008
973,8.5,2.11212225475726,1.51585350901268
973,9,2.42864886133048,1.5786991321097
973,9.5,2.77409572705833,1.63812534720991
973,10,3.14804036906233,1.69333201516071
974,0,-0.190031975274906,0.514496699674055
974,0.5,-0.141982255872381,0.55553412088106
974,1,-0.0895221458531351,0.599229212234906
974,1.5,-0.0317561939115152,0.645639617189493
974,2,0.0323208960614665,0.694798959002343
974,2.5,0.103834988701907,0.746710801933852
974,3,0.18403710658383,0.801342729512191
974,3.5,0.274308940026994,0.858619390312272
974,4,0.376165462553062,0.918414924625162
974,4.5,0.491252052003381,0.980545913422484
974,5,0.621335729050643,1.0447636864126
974,5.5,0.768287992992322,1.11074773695916
974,6,0.934057020285563,1.17810015999968
974,6.5,1.12062660527907,1.24634201932022
974,7,1.32995920457466,1.31491249845186
974,7.5,1.56392066931049,1.38317179408304
974,8,1.82418719111988,1.45040847960008
974,8.5,2.11212225475726,1.51585350901268
974,9,2.42864886133048,1.5786991321097
974,9.5,2.77409572705833,1.63812534720991
974,10,3.14804036906233,1.69333201516071
975,0,-0.190031975274906,0.514496699674055
975,0.5,-0.142425128554746,0.652651824848291
975,1,-0.0905538578645927,0.82496198583086
975,1.5,-0.0320560207267983,1.0355344959028
975,2,0.0359570129105397,1.2859825813777
975,2.5,0.116755828043027,1.57372727916374
975,3,0.213763965444725,1.89042873734248
975,3.5,0.330273078152581,2.22131154637828
975,4,0.469155516086139,2.54599455887471
975,4.5,0.632634834751161,2.84108712302474
975,5,0.822146289099151,3.08398782202961
975,5.5,1.03828313893016,3.2567744151017
975,6,1.28080259758337,3.34904355900907
975,6.5,1.54867967216752,3.35910995630734
975,7,1.84021837578387,3.29353572989416
975,7.5,2.1532425683421,3.16539909418123
975,8,2.48536952279636,2.99183934472405
975,8.5,2.83432972669183,2.79141931533259
975,9,3.19825834944091,2.58178045038516
975,9.5,3.57587200207883,2.37794404069507
975,10,3.96646720567194,2.19144424946949
976,0,-0.190031975274906,0.514496699674055
976,0.5,-0.142425128554746,0.652651824848291
976,1,-0.0905538578645927,0.82496198583086
976,1.5,-0.0320560207267983,1.0355344959028
976,2,0.0359570129105397,1.2859825813777
976,2.5,0.116755828043027,1.57372727916374
976,3,0.213763965444725,1.89042873734248
976,3.5,0.330273078152581,2.22131154637828
976,4,0.469155516086139,2.54599455887471
976,4.5,0.632634834751161,2.84108712302474
976,5,0.822146289099151,3.08398782202961
976,5.5,1.03828313893016,3.2567744151017
976,6,1.28080259758337,3.34904355900907
976,6.5,1.54867967216752,3.35910995630734
976,7,1.84021837578387,3.29353572989416
976,7.5,2.1532425683421,3.16539909418123
976,8,2.48536952279636,2.99183934472405
976,8.5,2.83432972669183,2.79141931533259
976,9,3.19825834944091,2.58178045038516
976,9.5,3.57587200207883,2.37794404069507
976,10,3.96646720567194,2.19144424946949
977,0,-0.190031975274906,0.514496699674055
977,0.5,-0.142425128554746,0.652651824848291
977,1,-0.0905538578645927,0.82496198583086
977,1.5,-0.0320560207267983,1.0355344959028
977,2,0.0359570129105397,1.2859825813777
977,2.5,0.116755828043027,1.57372727916374
977,3,0.213763965444725,1.89042873734248
977,3.5,0.330273078152581,2.22131154637828
977,4,0.469155516086139,2.54599455887471
977,4.5,0.632634834751161,2.84108712302474
977,5,0.822146289099151,3.08398782202961
977,5.5,1.03828313893016,3.2567744151017
977,6,1.28080259758337,3.34904355900907
977,6.5,1.54867967216752,3.35910995630734
977,7,1.84021837578387,3.29353572989416
977,7.5,2.1532425683421,3.16539909418123
977,8,2.48536952279636,2.99183934472405
977,8.5,2.83432972669183,2.79141931533259
977,9,3.19825834944091,2.58178045038516
977,9.5,3.57587200207883,2.37794404069507
977,10,3.96646720567194,2.19144424946949
978,0,-0.190031975274906,0.514496699674055
978,0.5,-0.142425128554746,0.652651824848291
978,1,-0.0905538578645927,0.82496198583086
978,1.5,-0.0320560207267983,1.0355344959028
978,2,0.0359570129105397,1.2859825813777
978,2.5,0.116755828043027,1.57372727916374
978,3,0.213763965444725,1.89042873734248
978,3.5,0.330273078152581,2.22131154637828
978,4,0.469155516086139,2.54599455887471
978,4.5,0.632634834751161,2.84108712302474
978,5,0.822146289099151,3.08398782202961
978,5.5,1.03828313893016,3.2567744151017
978,6,1.28080259758337,3.34904355900907
978,6.5,1.54867967216752,3.35910995630734
978,7,1.84021837578387,3.29353572989416
978,7.5,2.1532425683421,3.16539909418123
978,8,2.48536952279636,2.99183934472405
978,8.5,2.83432972669183,2.79141931533259
978,9,3.19825834944091,2.58178045038516
978,9.5,3.57587200207883,2.37794404069507
978,10,3.96646720567194,2.19144424946949
979,0,-0.190031975274906,0.514496699674055
979,0.5,-0.142425128554746,0.652651824848291
979,1,-0.0905538578645927,0.82496198583086
979,1.5,-0.0320560207267983,1.0355344959028
979,2,0.0359570129105397,1.2859825813777
979,2.5,0.116755828043027,1.57372727916374
979,3,0.213763965444725,1.89042873734248
979,3.5,0.330273078152581,2.22131154637828
979,4,0.469155516086139,2.54599455887471
979,4.5,0.632634834751161,2.84108712302474
979,5,0.822146289099151,3.08398782202961
979,5.5,1.03828313893016,3.2567744151017
979,6,1.28080259758337,3.34904355900907
979,6.5,1.54867967216752,3.35910995630734
979,7,1.84021837578387,3.29353572989416
979,7.5,2.1532425683421,3.16539909418123
979,8,2.48536952279636,2.99183934472405
979,8.5,2.83432972669183,2.79141931533259
979,9,3.19825834944091,2.58178045038516
979,9.5,3.57587200207883,2.37794404069507
979,10,3.96646720567194,2.19144424946949
980,0,-0.190031975274906,0.514496699674055
980,0.5,-0.141982255872381,0.55553412088106
980,1,-0.0895221458531351,0.599229212234906
980,1.5,-0.0317561939115152,0.645639617189493
980,2,0.0323208960614665,0.694798959002343
980,2.5,0.103834988701907,0.746710801933852
980,3,0.18403710658383,0.801342729512191
980,3.5,0.274308940026994,0.858619390312272
980,4,0.376165462553062,0.918414924625162
980,4.5,0.491252052003381,0.980545913422484
980,5,0.621335729050643,1.0447636864126
980,5.5,0.768287992992322,1.11074773695916
980,6,0.934057020285563,1.17810015999968
980,6.5,1.12062660527907,1.24634201932022
980,7,1.32995920457466,1.31491249845186
980,7.5,1.56392066931049,1.38317179408304
980,8,1.82418719111988,1.45040847960008
980,8.5,2.11212225475726,1.51585350901268
980,9,2.42864886133048,1.5786991321097
980,9.5,2.77409572705833,1.63812534720991
980,10,3.14804036906233,1.69333201516071
981,0,-0.190031975274906,0.514496699674055
981,0.5,-0.141982255872381,0.55553412088106
981,1,-0.0895221458531351,0.599229212234906
981,1.5,-0.0317561939115152,0.645639617189493
981,2,0.0323208960614665,0.694798959002343
981,2.5,0.103834988701907,0.746710801933852
981,3,0.18403710658383,0.801342729512191
981,3.5,0.274308940026994,0.858619390312272
981,4,0.376165462553062,0.918414924625162
981,4.5,0.491252052003381,0.980545913422484
981,5,0.621335729050643,1.0447636864126
981,5.5,0.768287992992322,1.11074773695916
981,6,0.934057020285563,1.17810015999968
981,6.5,1.12062660527907,1.24634201932022
981,7,1.32995920457466,1.31491249845186
981,7.5,1.56392066931049,1.38317179408304
981,8,1.82418719111988,1.45040847960008
981,8.5,2.11212225475726,1.51585350901268
981,9,2.42864886133048,1.5786991321097
981,9.5,2.77409572705833,1.63812534720991
981,10,3.14804036906233,1.69333201516071
982,0,-0.190031975274906,0.514496699674055
982,0.5,-0.141982255872381,0.55553412088106
982,1,-0.0895221458531351,0.599229212234906
982,1.5,-0.0317561939115152,0.645639617189493
982,2,0.0323208960614665,0.694798959002343
982,2.5,0.103834988701907,0.746710801933852
982,3,0.18403710658383,0.801342729512191
982,3.5,0.274308940026994,0.858619390312272
982,4,0.376165462553062,0.918414924625162
982,4.5,0.491252052003381,0.980545913422484
982,5,0.621335729050643,1.0447636864126
982,5.5,0.768287992992322,1.11074773695916
982,6,0.934057020285563,1.17810015999968
982,6.5,1.12062660527907,1.24634201932022
982,7,1.32995920457466,1.31491249845186
982,7.5,1.56392066931049,1.38317179408304
982,8,1.82418719111988,1.45040847960008
982,8.5,2.11212225475726,1.51585350901268
982,9,2.42864886133048,1.5786991321097
982,9.5,2.77409572705833,1.63812534720991
982,10,3.14804036906233,1.69333201516071
983,0,-0.190031975274906,0.514496699674055
983,0.5,-0.141982255872381,0.55553412088106
983,1,-0.0895221458531351,0.599229212234906
983,1.5,-0.0317561939115152,0.645639617189493
983,2,0.0323208960614665,0.694798959002343
983,2.5,0.103834988701907,0.746710801933852
983,3,0.18403710658383,0.801342729512191
983,3.5,0.274308940026994,0.858619390312272
983,4,0.376165462553062,0.918414924625162
983,4.5,0.491252052003381,0.980545913422484
983,5,0.621335729050643,1.0447636864126
983,5.5,0.768287992992322,1.11074773695916
983,6,0.934057020285563,1.17810015999968
983,6.5,1.12062660527907,1.24634201932022
983,7,1.32995920457466,1.31491249845186
983,7.5,1.56392066931049,1.38317179408304
983,8,1.82418719111988,1.45040847960008
983,8.5,2.11212225475726,1.51585350901268
983,9,2.42864886133048,1.5786991321097
983,9.5,2.77409572705833,1.63812534720991
983,10,3.14804036906233,1.69333201516071
984,0,-0.190031975274906,0.514496699674055
984,0.5,-0.141982255872381,0.55553412088106
984,1,-0.0895221458531351,0.599229212234906
984,1.5,-0.0317561939115152,0.645639617189493
984,2,0.0323208960614665,0.694798959002343
984,2.5,0.103834988701907,0.746710801933852
984,3,0.18403710658383,0.801342729512191
984,3.5,0.274308940026994,0.858619390312272
984,4,0.376165462553062,0.918414924625162
984,4.5,0.491252052003381,0.980545913422484
984,5,0.621335729050643,1.0447636864126
984,5.5,0.768287992992322,1.11074773695916
984,6,0.934057020285563,1.17810015999968
984,6.5,1.12062660527907,1.24634201932022
984,7,1.32995920457466,1.31491249845186
984,7.5,1.56392066931049,1.38317179408304
984,8,1.82418719111988,1.45040847960008
984,8.5,2.11212225475726,1.51585350901268
984,9,2.42864886133048,1.5786991321097
984,9.5,2.77409572705833,1.63812534720991
984,10,3.14804036906233,1.69333201516071
985,0,-0.190031975274906,0.514496699674055
985,0.5,-0.141982255872381,0.55553412088106
985,1,-0.0895221458531351,0.599229212234906
985,1.5,-0.0317561939115152,0.645639617189493
985,2,0.0323208960614665,0.694798959002343
985,2.5,0.103834988701907,0.746710801933852
985,3,0.18403710658383,0.801342729512191
985,3.5,0.274308940026994,0.858619390312272
985,4,0.376165462553062,0.918414924625162
985,4.5,0.491252052003381,0.980545913422484
985,5,0.621335729050643,1.0447636864126
985,5.5,0.768287992992322,1.11074773695916
985,6,0.934057020285563,1.17810015999968
985,6.5,1.12062660527907,1.24634201932022
985,7,1.32995920457466,1.31491249845186
985,7.5,1.56392066931049,1.38317179408304
985,8,1.82418719111988,1.45040847960008
985,8.5,2.11212225475726,1.51585350901268
985,9,2.42864886133048,1.5786991321097
985,9.5,2.77409572705833,1.63812534720991
985,10,3.14804036906233,1.69333201516071
986,0,-0.190031975274906,0.514496699674055
