i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	268435456	704643072	2246	-1.0	0.0	0.25	0.65625	False	False	False					5.0	1.325	23.3125
0	268435456	738197504	1477	-1.0	0.0	0.25	0.6875	False	False	False					5.0	1.325	24.375
0	268435456	805306368	38	-1.0	0.0	0.25	0.75	False	False	False					5.0	1.325	26.5
0	268435456	939524096	646	-1.0	0.0	0.25	0.875	False	False	False					5.0	1.325	30.75
0	268435456	1006632960	2534	-1.0	0.0	0.25	0.9375	False	False	False					5.0	1.325	32.875
0	268435456	1073741824	39	-1.0	0.0	0.25	1.0	False	False	False					5.0	1.325	35.0
0	402653184	0	1314	-1.0	0.0	0.375	0.0	False	False	False					5.0	1.9375	1.0
0	402653184	134217728	1315	-1.0	0.0	0.375	0.125	False	False	False					5.0	1.9375	5.25
0	402653184	268435456	1316	-1.0	0.0	0.375	0.25	False	False	False					5.0	1.9375	9.5
0	402653184	805306368	647	-1.0	0.0	0.375	0.75	False	False	False					5.0	1.9375	26.5
0	402653184	939524096	648	-1.0	0.0	0.375	0.875	False	False	False					5.0	1.9375	30.75
0	402653184	1073741824	649	-1.0	0.0	0.375	1.0	False	False	False					5.0	1.9375	35.0
0	536870912	0	11	-1.0	0.0	0.5	0.0	False	False	False					5.0	2.55	1.0
0	536870912	134217728	1317	-1.0	0.0	0.5	0.125	False	False	False					5.0	2.55	5.25
0	536870912	268435456	65	-1.0	0.0	0.5	0.25	False	False	False					5.0	2.55	9.5
0	536870912	536870912	12	-1.0	0.0	0.5	0.5	False	False	False					5.0	2.55	18.0
0	536870912	671088640	1902	-1.0	0.0	0.5	0.625	False	False	False					5.0	2.55	22.25
0	536870912	805306368	40	-1.0	0.0	0.5	0.75	False	False	False					5.0	2.55	26.5
0	536870912	939524096	650	-1.0	0.0	0.5	0.875	False	False	False					5.0	2.55	30.75
0	536870912	1073741824	13	-1.0	0.0	0.5	1.0	False	False	False					5.0	2.55	35.0
0	671088640	536870912	1903	-1.0	0.0	0.625	0.5	False	False	False					5.0	3.1625	18.0
0	671088640	671088640	1904	-1.0	0.0	0.625	0.625	False	False	False					5.0	3.1625	22.25
0	671088640	805306368	1905	-1.0	0.0	0.625	0.75	False	False	False					5.0	3.1625	26.5
0	805306368	0	919	-1.0	0.0	0.75	0.0	False	False	False					5.0	3.775	1.0
0	805306368	134217728	2752	-1.0	0.0	0.75	0.125	False	False	False					5.0	3.775	5.25
0	805306368	268435456	920	-1.0	0.0	0.75	0.25	False	False	False					5.0	3.775	9.5
0	805306368	536870912	340	-1.0	0.0	0.75	0.5	False	False	False					5.0	3.775	18.0
0	805306368	671088640	1184	-1.0	0.0	0.75	0.625	False	False	False					5.0	3.775	22.25
0	805306368	805306368	341	-1.0	0.0	0.75	0.75	False	False	False					5.0	3.775	26.5
0	805306368	939524096	2937	-1.0	0.0	0.75	0.875	False	False	False					5.0	3.775	30.75
0	805306368	1073741824	342	-1.0	0.0	0.75	1.0	False	False	False					5.0	3.775	35.0
