sequence	Year	Adopters	NonAdopters	Potential Adopters
3142	2020.0	500.0	98318.3	1681.72
3142	2022.5	750.0	96477.2	3522.79
3142	2025.0	1000.0	94019.3	5980.69
3142	2027.5	1250.0	90996.7	9003.26
3142	2030.0	1500.0	87471.3	12528.7
3142	2032.5	1750.0	83512.3	16487.7
3142	2035.0	2000.0	79194.4	20805.6
3142	2037.5	2661.2	74375.5	25213.3
3142	2040.0	5331.93	67029.3	30138.8
3142	2042.5	11698.0	53632.5	37419.5
3142	2045.0	23360.5	33702.0	45937.4
3142	2047.5	41806.0	14097.1	47346.9
3142	2050.0	68379.3	3194.73	31926.0
1513	2015.0	0.0	100000.0	0.0
1513	2017.5	250.0	99501.8	498.20099999999996
1513	2020.0	500.0	98318.3	1681.72
1513	2022.5	750.0	96477.2	3522.79
1513	2025.0	1000.0	94019.3	5980.69
1513	2027.5	1250.0	90996.7	9003.26
1513	2030.0	1500.0	87471.3	12528.7
1513	2032.5	1750.0	83512.3	16487.7
1513	2035.0	2040.06	79185.2	20774.7
1513	2037.5	3345.06	73764.3	25140.6
1513	2040.0	7384.52	64150.6	30964.9
1513	2042.5	15811.9	47260.7	39677.3
1513	2045.0	30183.3	25610.4	47206.3
1513	2047.5	51927.8	8500.74	42821.5
1513	2050.0	82323.3	1383.25	19793.5
3141	2015.0	0.0	100000.0	0.0
3141	2017.5	250.0	99501.8	498.20099999999996
3141	2020.0	500.0	98318.3	1681.72
3141	2022.5	750.0	96477.2	3522.79
3141	2025.0	1000.0	94019.3	5980.69
3141	2027.5	1250.0	90996.7	9003.26
3141	2030.0	1500.0	87471.3	12528.7
3141	2032.5	1750.0	83512.3	16487.7
3141	2035.0	2263.47	79067.2	20669.3
3141	2037.5	4523.64	72382.3	25344.1
3141	2040.0	10230.9	59680.3	32588.8
3141	2042.5	21001.1	39454.1	42294.8
3141	2045.0	38339.7	17831.2	46829.2
3141	2047.5	63614.2	4509.05	35126.7
3141	2050.0	98032.1	502.23800000000006	4965.64
3140	2015.0	0.0	100000.0	0.0
3140	2017.5	250.0	99455.2	544.841
3140	2020.0	500.0	98161.9	1838.14
3140	2022.5	750.0	96152.9	3847.06
3140	2025.0	1000.0	93476.5	6523.46
3140	2027.5	1250.0	90194.3	9805.73
3140	2030.0	1500.0	86378.8	13621.2
3140	2032.5	1750.0	82111.4	17888.6
3140	2035.0	2000.0	77478.8	22521.2
3140	2037.5	2699.74	72314.6	27235.6
3140	2040.0	5596.37	64291.4	32612.3
3140	2042.5	12528.5	49611.3	40610.2
3140	2045.0	25234.7	28698.5	49066.8
3140	2047.5	45317.8	10214.4	47717.8
3140	2050.0	74214.0	1749.29	27536.7
3139	2015.0	0.0	100000.0	0.0
3139	2017.5	250.0	99455.2	544.841
3139	2020.0	500.0	98161.9	1838.14
3139	2022.5	750.0	96152.9	3847.06
3139	2025.0	1000.0	93476.5	6523.46
